Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,SpecialDay,OperatingSystems,Browser,Region,TrafficType,Weekend,total_pages,total_duration,avg_time_per_product,bounce_exit_ratio,Month_Aug,Month_Dec,Month_Feb,Month_Jul,Month_June,Month_Mar,Month_May,Month_Nov,Month_Oct,Month_Sep,VisitorType_New_Visitor,VisitorType_Other,VisitorType_Returning_Visitor
8,203.6,1,0.0,42,1052.4,0.0,0.004545455,0.0,2,2,5,2,0,51,1256.0,24.474418604651166,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0.0,0,0.0,30,901.2888889,0.0,0.007333333,0.0,2,2,7,2,0,30,901.2888889,29.07383512580645,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,0.0,0,0.0,13,421.1666667,0.0,0.028205128,0.8,1,1,1,2,0,13,421.1666667,30.083333335714286,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,40.0,0,0.0,5,558.5,0.0,0.028571429,0.0,2,2,7,2,1,7,598.5,93.08333333333333,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0.0,0,0.0,16,1599.266667,0.0,0.013333333,0.0,4,2,2,13,0,16,1599.266667,94.07450982352941,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1
5,79.7,0,0.0,27,1051.55,0.00862069,0.016896552,0.0,2,5,1,13,0,32,1131.25,37.55535714285714,0.5101738997459514,0,0,0,0,0,0,0,0,1,0,0,0,1
11,1640.590909,0,0.0,16,1849.833333,0.0,0.013636364,0.0,1,1,2,3,0,27,3490.424242,108.81372547058824,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1
3,81.6,0,0.0,9,1346.2,0.0,0.016666667,0.0,2,2,2,3,0,12,1427.8,134.62,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
8,125.7333333,0,0.0,7,81.66666667,0.033333333,0.024166667,0.0,2,2,1,1,0,15,207.39999997,10.20833333375,1.3792532394624604,0,0,0,0,0,0,0,0,0,1,0,0,1
3,139.0,0,0.0,10,277.1428571,0.0,0.007692308,0.0,3,2,1,2,1,13,416.1428571,25.194805190909094,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0.0,0,0.0,2,19.0,0.0,0.1,0.0,1,1,3,3,0,2,19.0,6.333333333333333,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,14.0,0,0.0,7,170.75,0.0,0.025,0.0,1,1,1,2,0,8,184.75,21.34375,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,0.0,0,0.0,7,37.0,0.083333333,0.108333333,0.6,1,1,2,4,0,8,37.0,4.625,0.769223667994522,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,1,1,1,20,0,1,0.0,0.0,0.9999950000249999,0,0,0,0,0,0,0,1,0,0,0,0,1
12,739.2091954,1,16.0,21,1321.059195,0.009032258,0.025133361,0.0,2,2,1,8,0,34,2076.2683904,60.04814522727273,0.3593589667945009,0,0,0,0,0,1,0,0,0,0,0,0,1
7,98.8,0,0.0,5,69.4,0.022222222,0.033333333,0.0,3,2,2,5,1,12,168.2,11.566666666666668,0.6666466672664486,0,0,0,1,0,0,0,0,0,0,1,0,0
8,157.0,4,60.0,24,1192.5,0.015151515,0.033760684,0.0,2,2,1,7,0,36,1409.5,47.7,0.4487784140151303,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0.0,0,0.0,7,666.0,0.0,0.014285714,0.0,1,1,6,2,0,7,666.0,83.25,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,14,207.1666667,0.042857143,0.083333333,0.6,2,2,7,11,0,14,207.1666667,13.811111113333334,0.5142795467025578,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0.0,0,0.0,3,109.0,0.0,0.033333333,0.0,3,2,4,4,1,3,109.0,27.25,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,1,8,1,11,0,1,0.0,0.0,0.9999950000249999,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0.0,0,0.0,2,404.0,0.0,0.1,0.0,2,2,6,13,0,2,404.0,134.66666666666666,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1
10,295.6940559,0,0.0,29,785.474359,0.0,0.001481481,0.0,2,2,5,4,1,39,1081.1684149,26.182478633333336,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,41.4,0,0.0,30,684.6,0.019354839,0.041935484,0.0,2,2,5,1,0,31,726.0,22.083870967741937,0.46152746138660544,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0.0,0,0.0,11,335.0,0.036363636,0.060606061,0.0,3,2,1,13,1,11,335.0,27.916666666666668,0.599990090263575,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0.0,0,0.0,3,0.0,0.2,0.2,0.0,1,2,8,1,0,3,0.0,0.0,0.9999950000249999,0,0,0,1,0,0,0,0,0,0,0,0,1
1,17.5,0,0.0,8,163.0,0.0,0.011111111,0.0,3,2,1,2,1,9,180.5,18.11111111111111,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0.0,0,0.0,25,585.0,0.0,0.016,0.0,4,1,1,3,0,25,585.0,22.5,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1
